Date,Price,Vol.,Change %,SMA_30,EMA_30,month,quarter,day_of_week
2023-11-24,130.16,40.0,0.0025,123.88333333333334,125.11067777426153,11,4,4
2023-11-27,130.42,40.0,0.002,124.27833333333334,125.4532146920511,11,4,0
2023-11-28,130.4,40.0,-0.0002,124.65,125.77236213127361,11,4,1
2023-11-29,130.38,40.0,-0.0002,125.01899999999999,126.06962909054629,11,4,2
2023-11-30,130.46,40.0,0.0006,125.40066666666667,126.35287882664008,11,4,3
2023-12-01,130.46,40.0,0.0,125.78133333333334,126.6178543862117,12,4,4
2023-12-04,130.46,40.0,0.0,126.175,126.8657347483916,12,4,0
2023-12-05,130.77,40.0,0.0024,126.58566666666665,127.11762282914054,12,4,1
2023-12-06,132.92,40.0,0.016399999999999998,127.07666666666665,127.49196974338955,12,4,2
2023-12-07,134.4,40.0,0.0111,127.60733333333333,127.93764911478378,12,4,3
2023-12-08,135.45,40.0,0.0078000000000000005,128.174,128.42231691383,12,4,4
2023-12-11,135.16,40.0,-0.0021,128.7276666666667,128.8570061451958,12,4,0
2023-12-12,135.66,40.0,0.0037,129.293,129.29590897453804,12,4,1
2023-12-13,135.03,40.0,-0.0046,129.83033333333333,129.66585033101947,12,4,2
2023-12-14,135.22,40.0,0.0014000000000000002,130.26000000000002,130.0241825677279,12,4,3
2023-12-15,135.08,40.0,-0.001,130.577,130.35036433755192,12,4,4
2023-12-18,134.61,40.0,-0.0034999999999999996,130.859,130.62517954158082,12,4,0
2023-12-19,134.65,40.0,0.0003,131.12633333333332,130.88484537760786,12,4,1
2023-12-20,134.85,40.0,0.0015,131.423,131.14066180485898,12,4,2
2023-12-21,135.31,40.0,0.0034000000000000002,131.69133333333335,131.40965136583583,12,4,3
2023-12-22,135.52,40.0,0.0016,131.96266666666668,131.67483514868513,12,4,4
2023-12-26,135.75,40.0,0.0017000000000000001,132.21866666666668,131.9377490100603,12,4,1
2023-12-27,136.07,40.0,0.0024,132.47633333333334,132.2043458481209,12,4,2
2023-12-28,136.16,40.0,0.0007000000000000001,132.72233333333332,132.45954934179053,12,4,3
2023-12-29,136.37,40.0,0.0015,132.95966666666666,132.71183648102988,12,4,4
2024-01-02,136.37,40.0,0.0,133.19133333333332,132.94784703064087,1,1,1
2024-01-03,144.16,40.0,0.0571,133.69833333333335,133.67121173834147,1,1,2
2024-01-04,142.95,40.0,-0.0084,134.153,134.26984323909363,1,1,3
2024-01-05,141.45,40.0,-0.0105,134.54966666666667,134.7330791591521,1,1,4
2024-01-08,140.87,40.0,-0.0040999999999999995,134.91733333333335,135.12900953598103,1,1,0
2024-01-09,140.52,40.0,-0.0025,135.26266666666666,135.47681537236937,1,1,1
2024-01-10,138.16,40.0,-0.0168,135.52066666666667,135.64992405802298,1,1,2
2024-01-11,138.85,40.0,0.005,135.80233333333334,135.8563805704086,1,1,3
2024-01-12,137.22,40.0,-0.011699999999999999,136.03033333333335,135.944356017479,1,1,4
2024-01-16,136.75,40.0,-0.0034000000000000002,136.24,135.99633304860942,1,1,1
2024-01-17,135.79,40.0,-0.006999999999999999,136.41766666666666,135.98302123902172,1,1,2
2024-01-18,136.08,40.0,0.0021,136.60500000000002,135.9892779332784,1,1,3
2024-01-19,135.88,40.0,-0.0015,136.77533333333335,135.98222774403465,1,1,4
2024-01-22,135.42,40.0,-0.0034000000000000002,136.85866666666666,135.945954986355,1,1,0
2024-01-23,135.48,40.0,0.0004,136.89466666666667,135.9158933743321,1,1,1
2024-01-24,135.49,40.0,0.0001,136.89600000000002,135.88841638243971,1,1,2
2024-01-25,135.54,40.0,0.0004,136.90866666666668,135.86593790615328,1,1,3
2024-01-26,135.55,40.0,0.0001,136.905,135.84555481543373,1,1,4
2024-01-29,135.55,40.0,0.0,136.92233333333334,135.8264867628251,1,1,0
2024-01-30,135.61,40.0,0.0004,136.93533333333335,135.81251987490091,1,1,1
2024-01-31,135.13,40.0,-0.0034999999999999996,136.93699999999998,135.76848633458474,1,1,2
2024-02-01,132.67,40.0,-0.0182,136.87233333333333,135.56858399041798,2,1,3
2024-02-02,128.63,40.0,-0.0305,136.67166666666665,135.12093341039102,2,1,4
2024-02-05,128.94,40.0,0.0024,136.47466666666665,134.72216351294645,2,1,0
2024-02-06,127.39,40.0,-0.012,136.21066666666667,134.2491207056596,2,1,1
2024-02-07,127.03,40.0,-0.0028000000000000004,135.92766666666665,133.78337098271382,2,1,2
2024-02-08,129.07,40.0,0.0161,135.705,133.47928253221616,2,1,3
2024-02-09,128.75,40.0,-0.0025,135.46099999999998,133.1741675301377,2,1,4
2024-02-12,128.87,40.0,0.0009,135.218,132.8964793023869,2,1,0
2024-02-13,129.02,40.0,0.0012,134.973,132.64638386352323,2,1,1
2024-02-14,129.1,40.0,0.0006,134.73066666666665,132.41758490458625,2,1,2
2024-02-15,129.17,40.0,0.0005,134.231,132.20806329783875,2,1,3
2024-02-16,129.29,40.0,0.0009,133.77566666666667,132.0198011495911,2,1,4
2024-02-20,127.92,40.0,-0.0106,133.32466666666667,131.7552978496175,2,1,1
2024-02-21,127.3,40.0,-0.0048,132.87233333333333,131.46785927867444,2,1,2
2024-02-22,127.82,40.0,0.0040999999999999995,132.44899999999998,131.23251351875996,2,1,3
2024-02-23,126.85,40.0,-0.0076,132.072,130.94977071109804,2,1,4
2024-02-26,126.11,40.0,-0.0058,131.64733333333334,130.6375274394143,2,1,0
2024-02-27,125.84,40.0,-0.0021,131.268,130.32800954009724,2,1,1
2024-02-28,125.36,40.0,-0.0038,130.88833333333332,130.00749279557485,2,1,2
2024-02-29,124.86,40.0,-0.004,130.524,129.67539648618293,2,1,3
2024-03-01,113.89,40.0,-0.08789999999999999,129.78433333333334,128.656983809655,3,1,4
2024-03-04,116.94,40.0,0.0268,129.153,127.90104937032243,3,1,0
2024-03-05,116.21,40.0,-0.0062,128.51266666666666,127.14678812062421,3,1,1
2024-03-06,116.96,40.0,0.006500000000000001,127.89533333333333,126.48957598380976,3,1,2
2024-03-07,117.96,40.0,0.0085,127.31099999999999,125.93928075904785,3,1,3
2024-03-08,117.05,40.0,-0.0077,126.69466666666668,125.36577877459315,3,1,4
2024-03-11,113.0,40.0,-0.0346,125.943,124.56798659558716,3,1,0
2024-03-12,113.15,40.0,0.0013,125.19633333333334,123.83134229909767,3,1,1
